gvkey,tic,datadate,fqtr,qtryr,rdq,atqr
001004,AIR,20140228,3,2013,20140320,2213.1001
001004,AIR,20140531,4,2013,20140715,2199.5
001004,AIR,20140831,1,2014,20140923,2205.3999
001004,AIR,20141130,2,2014,20141218,2227.7
001004,AIR,20150228,3,2014,20150330,2133.8
001004,AIR,20150531,4,2014,20150713,1515
001004,AIR,20150831,1,2015,20150924,1547.2
001004,AIR,20151130,2,2015,20151217,1534.6
001045,AAL,20140331,1,2014,20140424,43737
001045,AAL,20140630,2,2014,20140724,44811
001045,AAL,20140930,3,2014,20141023,44173
001045,AAL,20141231,4,2014,20150127,43771
001045,AAL,20150331,1,2015,20150424,46754
001045,AAL,20150630,2,2015,20150724,47868
001045,AAL,20150930,3,2015,20151023,48715
001045,AAL,20151231,4,2015,20160129,48415
001050,CECE,20140331,1,2014,20140508,335.8069
001050,CECE,20140630,2,2014,20140807,333.626
001050,CECE,20140930,3,2014,20141106,350.552
001050,CECE,20141231,4,2014,20150305,414.365
001050,CECE,20150331,1,2015,20150507,417.428
001050,CECE,20150630,2,2015,20150806,416.741
001050,CECE,20150930,3,2015,20151105,646.82
001050,CECE,20151231,4,2015,20160310,598.819
001062,ASA,20140228,1,2014,20140315,293.188
001062,ASA,20140531,2,2014,20140722,268.1318
001062,ASA,20140831,3,2014,20141030,309.939
001062,ASA,20141130,4,2014,20150129,223.333
001062,ASA,20150228,1,2015,20150429,248.816
001062,ASA,20150531,2,2015,,228.958
001062,ASA,20150831,3,2015,,173.28
001062,ASA,20151130,4,2015,20160128,162.35
001072,AVX,20140331,4,2013,20140428,2384.988
001072,AVX,20140630,1,2014,20140729,2410.811
001072,AVX,20140930,2,2014,20141029,2412.093
001072,AVX,20141231,3,2014,20150127,2402.272
001072,AVX,20150331,4,2014,20150424,2459.015
001072,AVX,20150630,1,2015,20150727,2342.735
001072,AVX,20150930,2,2015,20151027,2365.885
001072,AVX,20151231,3,2015,20160126,2353.564
001075,PNW,20140331,1,2014,20140502,13450.7969
001075,PNW,20140630,2,2014,20140731,13690.3164
001075,PNW,20140930,3,2014,20141031,13980.3477
001075,PNW,20141231,4,2014,20150220,14313.532
001075,PNW,20150331,1,2015,20150501,14435.703
001075,PNW,20150630,2,2015,20150730,14701.483
001075,PNW,20150930,3,2015,20151030,14875.018
001075,PNW,20151231,4,2015,20160219,15028.258
001076,AAN,20140331,1,2014,20140425,1861.23
001076,AAN,20140630,2,2014,20140725,2369.4871
001076,AAN,20140930,3,2014,20141024,2287.928
001076,AAN,20141231,4,2014,20150206,2456.844
001076,AAN,20150331,1,2015,20150424,2404.66
001076,AAN,20150630,2,2015,20150724,2354.707
001076,AAN,20150930,3,2015,20151030,2335.674
001076,AAN,20151231,4,2015,20160218,2658.875
001078,ABT,20140331,1,2014,20140416,41662
001078,ABT,20140630,2,2014,20140716,41475
001078,ABT,20140930,3,2014,20141022,42514
001078,ABT,20141231,4,2014,20150129,41275
001078,ABT,20150331,1,2015,20150422,43095
001078,ABT,20150630,2,2015,20150722,44125
001078,ABT,20150930,3,2015,20151021,41725
001078,ABT,20151231,4,2015,20160128,41247
001084,WDDD,20140331,1,2014,20140515,0.355
001084,WDDD,20140630,2,2014,20140814,0.27
001084,WDDD,20140930,3,2014,20141119,0.141
001084,WDDD,20141231,4,2014,20150415,0.028
001084,WDDD,20150331,1,2015,20150528,0.011
001084,WDDD,20150630,2,2015,20150813,0.189
001084,WDDD,20150930,3,2015,20151113,0.006
001084,WDDD,20151231,4,2015,20160413,0.026
001094,ACET,20140331,3,2014,20140508,349.8618
001094,ACET,20140630,4,2014,20140904,467.9839
001094,ACET,20140930,1,2015,20141106,460.7639
001094,ACET,20141231,2,2015,20150205,479.8
001094,ACET,20150331,3,2015,20150507,481.621
001094,ACET,20150630,4,2015,20150910,489.774
001094,ACET,20150930,1,2016,20151105,490.646
001094,ACET,20151231,2,2016,20160204,524.394
001097,ACMTA,20140331,1,2014,20140512,77.215
001097,ACMTA,20140630,2,2014,20140814,77.603
001097,ACMTA,20140930,3,2014,20150106,76.675
001097,ACMTA,20141231,4,2014,20150417,75.698
001097,ACMTA,20150331,1,2015,20150511,75.96
001097,ACMTA,20150630,2,2015,20150723,76.909
001097,ACMTA,20150930,3,2015,20151022,74.477
001097,ACMTA,20151231,4,2015,20160422,73.518
001104,ACU,20140331,1,2014,20140417,61.781
001104,ACU,20140630,2,2014,20140724,87.987
001104,ACU,20140930,3,2014,20141023,84.943
001104,ACU,20141231,4,2014,20150226,79.308
001104,ACU,20150331,1,2015,20150417,78.8
001104,ACU,20150630,2,2015,20150722,89.421
001104,ACU,20150930,3,2015,20151016,86.585
001104,ACU,20151231,4,2015,20160225,81.421
001117,RWC,20140331,1,2014,20140513,35.441
001117,RWC,20140630,2,2014,20140812,36.407
001117,RWC,20140930,3,2014,20141112,37.639
001117,RWC,20141231,4,2014,20150304,36.986
001117,RWC,20150331,1,2015,20150506,37.651
001117,RWC,20150630,2,2015,20150804,37.901
001117,RWC,20150930,3,2015,20151104,40.065
001117,RWC,20151231,4,2015,20160302,39.449
001121,AE,20140331,1,2014,20140509,464.6118
001121,AE,20140630,2,2014,20140808,483.1438
001121,AE,20140930,3,2014,20141106,455.8999
001121,AE,20141231,4,2014,20150312,340.814
001121,AE,20150331,1,2015,20150507,319.524
001121,AE,20150630,2,2015,20150806,339.572
001121,AE,20150930,3,2015,20151105,288.801
001121,AE,20151231,4,2015,20160310,243.215
001161,AMD,20140331,1,2014,20140417,4108
001161,AMD,20140630,2,2014,20140717,4246
001161,AMD,20140930,3,2014,20141016,4325
001161,AMD,20141231,4,2014,20150120,3767
001161,AMD,20150331,1,2015,20150416,3428
001161,AMD,20150630,2,2015,20150716,3381
001161,AMD,20150930,3,2015,20151015,3229
001161,AMD,20151231,4,2015,20160119,3109
001166,ASMIY,20140331,1,2014,20140423,2233.7949
001166,ASMIY,20140630,2,2014,20140724,2230.353
001166,ASMIY,20140930,3,2014,20141030,2252.0859
001166,ASMIY,20141231,4,2014,20150304,2210.772
001166,ASMIY,20150331,1,2015,20150423,2205.891
001166,ASMIY,20150630,2,2015,20150729,2188.597
001166,ASMIY,20150930,3,2015,20151028,2193.391
001166,ASMIY,20151231,4,2015,20160223,2254.303
001177,AET,20140331,1,2014,20140424,52119
001177,AET,20140630,2,2014,20140729,53160.6992
001177,AET,20140930,3,2014,20141028,53025.6016
001177,AET,20141231,4,2014,20150203,53402.1
001177,AET,20150331,1,2015,20150428,55555.4
001177,AET,20150630,2,2015,20150804,54641.1
001177,AET,20150930,3,2015,20151029,53478.4
001177,AET,20151231,4,2015,20160201,53424.1
001186,AEM,20140331,1,2014,20140501,4995.125
001186,AEM,20140630,2,2014,20140730,6708.4766
001186,AEM,20140930,3,2014,20141029,6674.8672
001186,AEM,20141231,4,2014,20150211,6840.538
001186,AEM,20150331,1,2015,20150430,6767.125
001186,AEM,20150630,2,2015,20150729,6749.815
001186,AEM,20150930,3,2015,20151028,6805.608
001186,AEM,20151231,4,2015,20160210,6683.18
001209,APD,20140331,2,2014,20140423,17963
001209,APD,20140630,3,2014,20140723,18316.1992
001209,APD,20140930,4,2014,20141030,17779.0977
001209,APD,20141231,1,2015,20150129,17635.4
001209,APD,20150331,2,2015,20150430,17493.8
001209,APD,20150630,3,2015,20150730,17671.5
001209,APD,20150930,4,2015,20151029,17438.1
001209,APD,20151231,1,2016,20160129,17260.3
001210,AIRT,20140331,4,2013,20140602,37.221
001210,AIRT,20140630,1,2014,20140807,38.052
001210,AIRT,20140930,2,2014,20141107,39.359
001210,AIRT,20141231,3,2014,20150203,42.524
001210,AIRT,20150331,4,2014,20150608,43.456
001210,AIRT,20150630,1,2015,20150805,43.116
001210,AIRT,20150930,2,2015,20151106,46.121
001210,AIRT,20151231,3,2015,20160205,49.757
001224,EGN1,20140331,1,2014,20140430,1213.342
001224,EGN1,20140630,2,2014,20140811,1175.1541
001224,EGN1,20140930,4,2014,20141125,1424.5999
001224,EGN1,20141231,1,2015,20150204,1472.1
001224,EGN1,20150331,2,2015,20150506,1459.6
001224,EGN1,20150630,3,2015,20150805,1403.3
001224,EGN1,20150930,4,2015,20151124,1519
001224,EGN1,20151231,1,2016,20160203,1534.8
001225,SO1,20140331,1,2014,20140430,19362
001225,SO1,20140630,2,2014,20140730,19530
001225,SO1,20140930,3,2014,20141029,20293
001225,SO1,20141231,4,2014,20150204,20552
001225,SO1,20150331,1,2015,20150429,20756
001225,SO1,20150630,2,2015,20150729,21220
001225,SO1,20150930,3,2015,20151028,21633
001225,SO1,20151231,4,2015,20160203,21721
001228,ALAN,20140331,3,2014,20140515,6.903
001228,ALAN,20140630,4,2014,20140929,6.765
001228,ALAN,20140930,1,2015,20141114,6.62
001228,ALAN,20141231,2,2015,20150213,6.352
001228,ALAN,20150331,3,2015,20150515,6.107
001228,ALAN,20150630,4,2015,20150928,5.332
001228,ALAN,20150930,1,2016,20151116,4.891
001228,ALAN,20151231,2,2016,20160216,4.57
001230,ALK,20140331,1,2014,20140425,6061
001230,ALK,20140630,2,2014,20140724,6314
001230,ALK,20140930,3,2014,20141023,6236
001230,ALK,20141231,4,2014,20150122,6181
001230,ALK,20150331,1,2015,20150423,6410
001230,ALK,20150630,2,2015,20150723,6480
001230,ALK,20150930,3,2015,20151022,6564
001230,ALK,20151231,4,2015,20160121,6533
001234,ATRI,20140331,1,2014,20140505,175.2
001234,ATRI,20140630,2,2014,20140806,172.33
001234,ATRI,20140930,3,2014,20141031,178.92
001234,ATRI,20141231,4,2014,20150223,171.514
001234,ATRI,20150331,1,2015,20150506,158.99
001234,ATRI,20150630,2,2015,20150804,159.677
001234,ATRI,20150930,3,2015,20151105,162.936
001234,ATRI,20151231,4,2015,20160222,164.336
001254,MATX,20140331,1,2014,20140506,1344.3
001254,MATX,20140630,2,2014,20140731,1364.5999
001254,MATX,20140930,3,2014,20141106,1360.8
001254,MATX,20141231,4,2014,20150224,1401.8
001254,MATX,20150331,1,2015,20150504,1426.9
001254,MATX,20150630,2,2015,20150804,1726.2
001254,MATX,20150930,3,2015,20151104,1736.7
001254,MATX,20151231,4,2015,20160223,1669.8
001257,ALX,20140331,1,2014,20140505,1452.043
001257,ALX,20140630,2,2014,20140804,1449.856
001257,ALX,20140930,3,2014,20141103,1465.437
001257,ALX,20141231,4,2014,20150217,1423.216
001257,ALX,20150331,1,2015,20150504,1432.872
001257,ALX,20150630,2,2015,20150803,1417.939
001257,ALX,20150930,3,2015,20151102,1456.701
001257,ALX,20151231,4,2015,20160216,1447.808
001263,0065A,20140331,4,2013,20140923,1632.3169
001263,0065A,20140630,1,2014,20140923,1648.7449
001263,0065A,20140930,2,2014,20141013,1687.606
001266,ALCO,20140331,2,2014,20140506,196.011
001266,ALCO,20140630,3,2014,20140811,200.998
001266,ALCO,20140930,4,2014,20141202,203.567
001266,ALCO,20141231,1,2015,20150209,411.449
001266,ALCO,20150331,2,2015,20150511,478.422
001266,ALCO,20150630,3,2015,20150805,470.222
001266,ALCO,20150930,4,2015,20151210,460.58
001266,ALCO,20151231,1,2016,20160208,468.982
001272,ATPT,20140331,3,2014,20171017,0
001272,ATPT,20140630,4,2014,20171017,0
001272,ATPT,20140930,1,2015,20171017,0
001272,ATPT,20141231,2,2015,20171017,0
001272,ATPT,20150331,3,2015,20171017,0
001272,ATPT,20150630,4,2015,20171017,0
001272,ATPT,20150930,1,2016,20171017,0
001272,ATPT,20151231,2,2016,20171017,0
001274,Y,20140331,1,2014,20140505,23494.3359
001274,Y,20140630,2,2014,20140804,23841.9063
001274,Y,20140930,3,2014,20141103,23929.4648
001274,Y,20141231,4,2014,20150224,23489.436
001274,Y,20150331,1,2015,20150505,23560.934
001274,Y,20150630,2,2015,20150804,23928.288
001274,Y,20150930,3,2015,20151103,23434.135
001274,Y,20151231,4,2015,20160223,22846.333
001300,HON,20140331,1,2014,20140417,45777
001300,HON,20140630,2,2014,20140718,46596
001300,HON,20140930,3,2014,20141017,46181
001300,HON,20141231,4,2014,20150123,45451
001300,HON,20150331,1,2015,20150417,45357
001300,HON,20150630,2,2015,20150717,46412
001300,HON,20150930,3,2015,20151016,46625
001300,HON,20151231,4,2015,20160129,49316
001327,SWKS,20140331,2,2014,20140422,2534.6001
001327,SWKS,20140630,3,2014,20140717,2688.8999
001327,SWKS,20140930,4,2014,20141106,2973.8
001327,SWKS,20141231,1,2015,20150122,3191
001327,SWKS,20150331,2,2015,20150430,3313.2
001327,SWKS,20150630,3,2015,20150723,3518.3
001327,SWKS,20150930,4,2015,20151105,3719.4
001327,SWKS,20151231,1,2016,20160128,3930.5
001356,AA.3,20140331,1,2014,20140408,35605
001356,AA.3,20140630,2,2014,20140708,36309
001356,AA.3,20140930,3,2014,20141008,37122
001356,AA.3,20141231,4,2014,20150112,37399
001356,AA.3,20150331,1,2015,20150408,35694
001356,AA.3,20150630,2,2015,20150708,36587
001356,AA.3,20150930,3,2015,20151008,36587
001356,AA.3,20151231,4,2015,20160111,36528
001380,HES,20140331,1,2014,20140430,41424
001380,HES,20140630,2,2014,20140730,41071
001380,HES,20140930,3,2014,20141029,40975
001380,HES,20141231,4,2014,20150128,38578
001380,HES,20150331,1,2015,20150429,36101
001380,HES,20150630,2,2015,20150729,35558
001380,HES,20150930,3,2015,20151028,36456
001380,HES,20151231,4,2015,20160127,34195
001388,AMR1,20140331,1,2014,20140424,26240
001388,AMR1,20140630,2,2014,20140724,26948
001388,AMR1,20140930,3,2014,20141023,26310
001388,AMR1,20141231,4,2014,20150225,26292
001388,AMR1,20150331,1,2015,20150424,28965
001388,AMR1,20150630,2,2015,20150724,30400
001388,AMR1,20150930,3,2015,20151023,31682
001388,AMR1,20151231,4,2015,20160224,50439
001393,UHAL,20140331,4,2013,20140528,5998.9766
001393,UHAL,20140630,1,2014,20140806,6528.6797
001393,UHAL,20140930,2,2014,20141105,6869.7891
001393,UHAL,20141231,3,2014,20150204,6906.532
001393,UHAL,20150331,4,2014,20150527,6872.175
001393,UHAL,20150630,1,2015,20150805,7090.634
001393,UHAL,20150930,2,2015,20151104,7600.545
001393,UHAL,20151231,3,2015,20160203,7762.534
001397,ABLT,20140331,1,2014,,
001397,ABLT,20140630,2,2014,,
001397,ABLT,20140930,3,2014,,
001397,ABLT,20141231,4,2014,,122.04
001397,ABLT,20150331,1,2015,,
001397,ABLT,20150630,2,2015,,
001397,ABLT,20150930,3,2015,,
001397,ABLT,20151231,4,2015,,114.836
001410,ABM,20140131,1,2014,20140304,2165.2109
001410,ABM,20140430,2,2014,20140603,2155.5
001410,ABM,20140731,3,2014,20140903,2168.2
001410,ABM,20141031,4,2014,20141208,2192.8999
001410,ABM,20150131,1,2015,20150303,2230.9
001410,ABM,20150430,2,2015,20150602,2205.6
001410,ABM,20150731,3,2015,20150902,2264.2
001410,ABM,20151031,4,2015,20151208,2149.8
001414,PRI,20140331,1,2014,20140505,10388.1211
001414,PRI,20140630,2,2014,20140806,10593.5469
001414,PRI,20140930,3,2014,20141104,10742.6523
001414,PRI,20141231,4,2014,20150209,10738.114
001414,PRI,20150331,1,2015,20150506,10724.214
001414,PRI,20150630,2,2015,20150805,10781.181
001414,PRI,20150930,3,2015,20151104,10562.865
001414,PRI,20151231,4,2015,20160210,10612.119
001439,ECOL,20140331,1,2014,20140505,300.156
001439,ECOL,20140630,2,2014,20140807,905.385
001439,ECOL,20140930,3,2014,20141105,917.1489
001439,ECOL,20141231,4,2014,20150226,919.855
001439,ECOL,20150331,1,2015,20150429,877.828
001439,ECOL,20150630,2,2015,20150805,863.071
001439,ECOL,20150930,3,2015,20151029,863.376
001439,ECOL,20151231,4,2015,20160218,771.987
001440,AEP,20140331,1,2014,20140425,57038
001440,AEP,20140630,2,2014,20140725,57620
001440,AEP,20140930,3,2014,20141023,57925
001440,AEP,20141231,4,2014,20150128,59633
001440,AEP,20150331,1,2015,20150423,60038
001440,AEP,20150630,2,2015,20150723,60938
001440,AEP,20150930,3,2015,20151022,61099
001440,AEP,20151231,4,2015,20160128,61683.1
001447,AXP,20140331,1,2014,20140416,151497
001447,AXP,20140630,2,2014,20140729,152384
001447,AXP,20140930,3,2014,20141015,153862
001447,AXP,20141231,4,2014,20150121,159103
001447,AXP,20150331,1,2015,20150416,154684
001447,AXP,20150630,2,2015,20150722,157152
001447,AXP,20150930,3,2015,20151021,154216
001447,AXP,20151231,4,2015,20160121,161184
001448,AXP1,20140331,1,2014,20140506,32766
001448,AXP1,20140630,2,2014,20140806,34463
001448,AXP1,20140930,3,2014,20141106,35111
001448,AXP1,20141231,4,2014,20150310,32840
001448,AXP1,20150331,1,2015,20150508,32215
001448,AXP1,20150630,2,2015,20150807,31981
001448,AXP1,20150930,3,2015,20151028,29988
001448,AXP1,20151231,4,2015,20160314,33285
001449,AFL,20140331,1,2014,20140429,123292
001449,AFL,20140630,2,2014,20140729,127871
001449,AFL,20140930,3,2014,20141028,127253
001449,AFL,20141231,4,2014,20150203,119767
001449,AFL,20150331,1,2015,20150428,121401
001449,AFL,20150630,2,2015,20150728,115581
001449,AFL,20150930,3,2015,20151027,117455
001449,AFL,20151231,4,2015,20160201,118296
001487,AIG,20140331,1,2014,20140505,547111
001487,AIG,20140630,2,2014,20140804,529109
001487,AIG,20140930,3,2014,20141103,527190
001487,AIG,20141231,4,2014,20150212,515581
001487,AIG,20150331,1,2015,20150430,520701
001487,AIG,20150630,2,2015,20150803,509987
001487,AIG,20150930,3,2015,20151102,501985
001487,AIG,20151231,4,2015,20160211,496943
001491,HAIPF,20140331,1,2014,20140701,719.5
001491,HAIPF,20140630,2,2014,20140810,745.4719
001491,HAIPF,20140930,3,2014,20141215,704.5479
001491,HAIPF,20141231,4,2014,,623.254
001491,HAIPF,20150331,1,2015,20150513,699.518
001491,HAIPF,20150630,2,2015,20150917,716.408
001491,HAIPF,20150930,3,2015,,
001491,HAIPF,20151231,4,2015,20160616,656.126
001496,ALGI,20140331,1,2014,20140514,8.491
001496,ALGI,20140630,2,2014,20140814,9.051
001511,TEEE.,20140228,2,2014,20140326,0.025
001526,ANAT,20140331,1,2014,20140423,23393.2656
001526,ANAT,20140630,2,2014,20140728,23458.0547
001526,ANAT,20140930,3,2014,20141028,23460.6992
001526,ANAT,20141231,4,2014,20150223,23552.036
001526,ANAT,20150331,1,2015,20150422,23536.799
001526,ANAT,20150630,2,2015,20150728,23319.156
001526,ANAT,20150930,3,2015,20151027,23432.02
001526,ANAT,20151231,4,2015,20160223,23746.962
001545,ARL,20140331,1,2014,20140515,940.156
001545,ARL,20140630,2,2014,20140814,922.2249
001545,ARL,20140930,3,2014,20141113,935.9858
001545,ARL,20141231,4,2014,20150330,965.498
001545,ARL,20150331,1,2015,20150513,945.688
001545,ARL,20150630,2,2015,20150812,1076.618
001545,ARL,20150930,3,2015,20151113,1087.111
001545,ARL,20151231,4,2015,20160330,1117.368
001554,ASEI,20140331,4,2013,20140522,265.511
001554,ASEI,20140630,1,2014,20140731,257.2029
001554,ASEI,20140930,2,2014,20141110,244.153
001554,ASEI,20141231,3,2014,20150205,222.792
001554,ASEI,20150331,4,2014,20150511,193.108
001554,ASEI,20150630,1,2015,20150806,181.103
001554,ASEI,20150930,2,2015,20151109,180.173
001554,ASEI,20151231,3,2015,20160208,178.057
001559,AMS,20140331,1,2014,20140515,69.783
001559,AMS,20140630,2,2014,20140814,65.259
001559,AMS,20140930,3,2014,20141113,63.52
001559,AMS,20141231,4,2014,20150330,67.528
001559,AMS,20150331,1,2015,20150514,58.953
001559,AMS,20150630,2,2015,20150819,56.928
001559,AMS,20150930,3,2015,20151112,55.886
001559,AMS,20151231,4,2015,20160329,54.114
001562,AMSWA,20140131,3,2013,20140227,125.085
001562,AMSWA,20140430,4,2013,20140625,131.22
001562,AMSWA,20140731,1,2014,20140828,128.749
001562,AMSWA,20141031,2,2014,20141203,126.661
001562,AMSWA,20150131,3,2014,20150226,128.37
001562,AMSWA,20150430,4,2014,20150624,134.266
001562,AMSWA,20150731,1,2015,20150827,132.475
001562,AMSWA,20151031,2,2015,20151203,129.783
001585,AVD,20140331,1,2014,20140501,498.094
001585,AVD,20140630,2,2014,20140731,479.4419
001585,AVD,20140930,3,2014,20141030,481.9758
001585,AVD,20141231,4,2014,20150226,473.171
001585,AVD,20150331,1,2015,20150430,470.716
001585,AVD,20150630,2,2015,20150730,493.003
001585,AVD,20150930,3,2015,20151102,493.913
001585,AVD,20151231,4,2015,20160301,443.539
001598,AME,20140331,1,2014,20140506,6088.8398
001598,AME,20140630,2,2014,20140805,6485
001598,AME,20140930,3,2014,20141028,6571.0586
001598,AME,20141231,4,2014,20150128,6420.963
001598,AME,20150331,1,2015,20150429,6335.24
001598,AME,20150630,2,2015,20150804,6557.811
001598,AME,20150930,3,2015,20151027,6644.024
001598,AME,20151231,4,2015,20160205,6664.53
001602,AMGN,20140331,1,2014,20140422,67004
001602,AMGN,20140630,2,2014,20140729,69534
001602,AMGN,20140930,3,2014,20141027,70775
001602,AMGN,20141231,4,2014,20150127,69009
001602,AMGN,20150331,1,2015,20150421,68952
001602,AMGN,20150630,2,2015,20150730,71209
001602,AMGN,20150930,3,2015,20151028,71869
001602,AMGN,20151231,4,2015,20160128,71576
001613,AP,20140331,1,2014,20140423,495.3989
001613,AP,20140630,2,2014,20140801,488.9768
001613,AP,20140930,3,2014,20141031,481.9128
001613,AP,20141231,4,2014,20150226,536.409
001613,AP,20150331,1,2015,20150505,527.573
001613,AP,20150630,2,2015,20150730,523.838
001613,AP,20150930,3,2015,20151029,513.075
001613,AP,20151231,4,2015,20160302,506.156
001618,AXR,20140131,3,2013,20140317,191.626
001618,AXR,20140430,4,2013,20140729,184.948
001618,AXR,20140731,1,2014,20140915,155.793
001618,AXR,20141031,2,2014,20141212,156.65
001618,AXR,20150131,3,2014,20150317,153.161
001618,AXR,20150430,4,2014,20150729,138.729
001618,AXR,20150731,1,2015,20150914,135.101
001618,AXR,20151031,2,2015,20151211,135.188
001632,ADI,20140131,1,2014,20140218,6399.4648
001632,ADI,20140430,2,2014,20140520,6594.9492
001632,ADI,20140731,3,2014,20140826,8973.4648
001632,ADI,20141031,4,2014,20141125,6859.6875
001632,ADI,20150131,1,2015,20150217,6821.156
001632,ADI,20150430,2,2015,20150519,7048.475
001632,ADI,20150731,3,2015,20150818,7134.701
001632,ADI,20151031,4,2015,20151124,7062.178
001633,ALOG,20140131,2,2014,20140306,586.9199
001633,ALOG,20140430,3,2014,20140605,602.4419
001633,ALOG,20140731,4,2014,20140915,614.3418
001633,ALOG,20141031,1,2015,20141209,603.3159
001633,ALOG,20150131,2,2015,20150310,603.452
001633,ALOG,20150430,3,2015,20150604,624.536
001633,ALOG,20150731,4,2015,20150916,627.97
001633,ALOG,20151031,1,2016,20151208,623.148
001650,ANDR,20140331,1,2014,20140515,4.938
001650,ANDR,20140630,2,2014,20140814,4.886
001650,ANDR,20140930,3,2014,20141114,4.731
001650,ANDR,20141231,4,2014,20150330,4.99
001650,ANDR,20150331,1,2015,20150520,5.096
001650,ANDR,20150630,2,2015,20150814,6.084
001650,ANDR,20150930,3,2015,20151116,5.485
001650,ANDR,20151231,4,2015,20160329,8.711
001659,ANDE,20140331,1,2014,20140507,2125.583
001659,ANDE,20140630,2,2014,20140806,1892.6279
001659,ANDE,20140930,3,2014,20141105,2082.9919
001659,ANDE,20141231,4,2014,20150210,2364.692
001659,ANDE,20150331,1,2015,20150505,2287.627
001659,ANDE,20150630,2,2015,20150805,2152.365
001659,ANDE,20150930,3,2015,20151104,2191.694
001659,ANDE,20151231,4,2015,20160210,2359.101
001661,NBR,20140331,1,2014,20140422,12187.0703
001661,NBR,20140630,2,2014,20140722,12435.9961
001661,NBR,20140930,3,2014,20141021,12619.3398
001661,NBR,20141231,4,2014,20150302,11879.942
001661,NBR,20150331,1,2015,20150421,10604.598
001661,NBR,20150630,2,2015,20150804,10517.283
001661,NBR,20150930,3,2015,20151027,9929.181
001661,NBR,20151231,4,2015,20160216,9537.84
001678,APA,20140331,1,2014,20140508,61121
001678,APA,20140630,2,2014,20140731,61171
001678,APA,20140930,3,2014,20141106,60990
001678,APA,20141231,4,2014,20150212,55952
001678,APA,20150331,1,2015,20150507,48650
001678,APA,20150630,2,2015,20150806,35312
001678,APA,20150930,3,2015,20151105,27812
001678,APA,20151231,4,2015,20160225,18842
001681,ASOE,20140331,1,2014,20140529,26.454
001681,ASOE,20140630,2,2014,20140820,26.219
001681,ASOE,20140930,3,2014,20141119,25.624
001681,ASOE,20141231,4,2014,20150625,21.68
001682,APAGF,20140331,1,2014,20140508,372.7358
001682,APAGF,20140630,2,2014,20140805,386.0259
001682,APAGF,20140930,3,2014,20141104,399.0718
001686,APOG,20140228,4,2013,20140409,565.3569
001686,APOG,20140531,1,2014,20140624,558.4399
001686,APOG,20140831,2,2014,20140916,578.937
001686,APOG,20141130,3,2014,20141217,592.1299
001686,APOG,20150228,4,2014,20150408,612.057
001686,APOG,20150531,1,2015,20150709,607.883
001686,APOG,20150831,2,2015,20150916,621.297
001686,APOG,20151130,3,2015,20151216,640.528
001689,AEP1,20140331,1,2014,20140425,11414.1016
001689,AEP1,20140630,2,2014,20140725,11195.1172
001689,AEP1,20140930,3,2014,20141023,11200.4648
001689,AEP1,20141231,4,2014,20150128,11232.382
001689,AEP1,20150331,1,2015,20150423,11317.041
001689,AEP1,20150630,2,2015,20150723,11394.319
001689,AEP1,20150930,3,2015,20151022,11406.209
001689,AEP1,20151231,4,2015,20160128,11648.3
001690,AAPL,20140331,2,2014,20140423,205989
001690,AAPL,20140630,3,2014,20140722,222520
001690,AAPL,20140930,4,2014,20141020,231839
001690,AAPL,20141231,1,2015,20150127,261894
001690,AAPL,20150331,2,2015,20150427,261194
001690,AAPL,20150630,3,2015,20150721,273151
001690,AAPL,20150930,4,2015,20151027,290479
001690,AAPL,20151231,1,2016,20160126,293284
001704,AMAT,20140131,1,2014,20140212,12199
001704,AMAT,20140430,2,2014,20140515,12555
001704,AMAT,20140731,3,2014,20140814,12851
001704,AMAT,20141031,4,2014,20141113,13174
001704,AMAT,20150131,1,2015,20150211,13073
001704,AMAT,20150430,2,2015,20150514,13587
001704,AMAT,20150731,3,2015,20150813,13153
001704,AMAT,20151031,4,2015,20151112,15308
001706,ATU,20140228,2,2014,20140319,1959.134
001706,ATU,20140531,3,2014,20140618,1947.7048
001706,ATU,20140831,4,2014,20141002,1856.8789
001706,ATU,20141130,1,2015,20141218,1787.4639
001706,ATU,20150228,2,2015,20150318,1636.819
001706,ATU,20150531,3,2015,20150617,1661.018
001706,ATU,20150831,4,2015,20150930,1636.917
001706,ATU,20151130,1,2016,20151217,1623.535
001712,TREC,20140331,1,2014,20140508,142.991
001712,TREC,20140630,2,2014,20140731,147.786
001712,TREC,20140930,3,2014,20141030,157.907
001712,TREC,20141231,4,2014,20150305,232.074
001712,TREC,20150331,1,2015,20150429,235.526
001712,TREC,20150630,2,2015,20150806,238.944
001712,TREC,20150930,3,2015,20151103,246.771
001712,TREC,20151231,4,2015,20160303,258.811
001718,AOXY,20140331,3,2014,20140514,0.664
001718,AOXY,20140630,4,2014,20141003,0.708
001718,AOXY,20140930,1,2015,20141107,0.703
001718,AOXY,20141231,2,2015,20150209,0.694
001718,AOXY,20150331,3,2015,20150507,0.695
001718,AOXY,20150630,4,2015,20150929,0.548
001718,AOXY,20150930,1,2016,20151106,0.525
001718,AOXY,20151231,2,2016,20160209,0.538
001722,ADM,20140331,1,2014,20140429,41444
001722,ADM,20140630,2,2014,20140805,39930
001722,ADM,20140930,3,2014,20141104,41821
001722,ADM,20141231,4,2014,20150203,44027
001722,ADM,20150331,1,2015,20150505,41715
001722,ADM,20150630,2,2015,20150804,40568
001722,ADM,20150930,3,2015,20151103,40877
